City,Severity_Level,Accident_Count,Severity_Ratio_Percent
ELMENDORF,2,7,77.78
ELMENDORF,4,2,22.22
ELMER,2,16,59.26
ELMER,3,2,7.41
ELMER,4,9,33.33
ELMHURST,1,2,0.15
ELMHURST,2,928,67.44
ELMHURST,3,396,28.78
ELMHURST,4,50,3.63
ELMIRA,2,15,57.69
ELMIRA,4,11,42.31
ELMO,2,53,98.15
ELMO,4,1,1.85
ELMONT,2,11,78.57
ELMONT,3,1,7.14
ELMONT,4,2,14.29
ELMORA,2,6,100.0
ELMORE,2,16,84.21
ELMORE,3,3,15.79
ELMORE CITY,3,1,100.0
ELMSFORD,1,9,1.91
ELMSFORD,2,430,91.1
ELMSFORD,3,25,5.3
ELMSFORD,4,8,1.69
ELMWOOD,2,4,100.0
ELMWOOD PARK,2,257,83.99
ELMWOOD PARK,3,38,12.42
ELMWOOD PARK,4,11,3.59
ELNORA,2,1,100.0
ELON,2,4,80.0
ELON,3,1,20.0
ELOY,2,101,69.18
ELOY,3,10,6.85
ELOY,4,35,23.97
ELROD,2,9,90.0
ELROD,3,1,10.0
ELROSA,2,1,100.0
ELROY,4,1,100.0
ELSINORE,2,3,75.0
ELSINORE,4,1,25.0
ELSMERE,2,2,100.0
ELTON,2,1,100.0
ELVERSON,2,64,85.33
ELVERSON,3,1,1.33
ELVERSON,4,10,13.33
ELVERTA,2,230,98.29
ELVERTA,3,3,1.28
ELVERTA,4,1,0.43
ELWELL,4,4,100.0
ELWOOD,2,5,25.0
ELWOOD,3,4,20.0
ELWOOD,4,11,55.0
ELY,2,52,91.23
ELY,3,3,5.26
ELY,4,2,3.51
ELYRIA,1,18,26.87
ELYRIA,2,24,35.82
ELYRIA,3,14,20.9
ELYRIA,4,11,16.42
ELYSBURG,2,56,86.15
ELYSBURG,4,9,13.85
ELYSIAN,2,13,100.0
EMBARRASS,2,31,100.0
EMBUDO,2,4,80.0
EMBUDO,4,1,20.0
EMDEN,4,1,100.0
EMELLE,2,3,100.0
EMERADO,2,10,100.0
EMERALD HILLS,2,17,100.0
EMERALD ISLE,2,1,100.0
EMERSON,2,5,38.46
EMERSON,3,4,30.77
EMERSON,4,4,30.77
EMERYVILLE,1,2,0.12
EMERYVILLE,2,1634,95.44
EMERYVILLE,3,64,3.74
EMERYVILLE,4,12,0.7
EMIGRANT,2,25,100.0
EMIGRANT GAP,2,97,97.0
EMIGRANT GAP,3,3,3.0
EMILY,2,12,100.0
EMLENTON,2,69,77.53
EMLENTON,4,20,22.47
EMMAUS,2,21,87.5
EMMAUS,3,1,4.17
EMMAUS,4,2,8.33
EMMET,2,3,60.0
EMMET,4,2,40.0
EMMETSBURG,2,4,36.36
EMMETSBURG,4,7,63.64
EMMETT,2,11,61.11
EMMETT,4,7,38.89
EMMITSBURG,2,51,72.86
EMMITSBURG,3,3,4.29
EMMITSBURG,4,16,22.86
EMMONS,2,9,100.0
EMPIRE,2,30,62.5
EMPIRE,3,9,18.75
EMPIRE,4,9,18.75
EMPORIA,2,194,87.39
EMPORIA,3,6,2.7
EMPORIA,4,22,9.91
EMPORIUM,2,34,85.0
EMPORIUM,4,6,15.0
ENCINAL,2,2,100.0
ENCINITAS,2,1033,96.81
ENCINITAS,3,22,2.06
ENCINITAS,4,12,1.12
ENCINO,2,1747,94.69
ENCINO,3,79,4.28
ENCINO,4,19,1.03
ENDEAVOR,4,1,100.0
ENDERLIN,2,7,100.0
ENDICOTT,2,34,60.71
ENDICOTT,3,7,12.5
ENDICOTT,4,15,26.79
ENFIELD,1,1,0.46
ENFIELD,2,167,77.31
ENFIELD,3,10,4.63
ENFIELD,4,38,17.59
ENGADINE,4,1,100.0
ENGLAND,2,3,30.0
ENGLAND,3,1,10.0
ENGLAND,4,6,60.0
ENGLEWOOD,1,28,2.0
ENGLEWOOD,2,900,64.15
ENGLEWOOD,3,412,29.37
ENGLEWOOD,4,63,4.49
ENGLEWOOD CLIFFS,2,32,80.0
ENGLEWOOD CLIFFS,4,8,20.0
ENGLISH,2,16,66.67
ENGLISH,3,1,4.17
ENGLISH,4,7,29.17
ENGLISHTOWN,2,81,81.0
ENGLISHTOWN,3,3,3.0
ENGLISHTOWN,4,16,16.0
ENID,4,1,100.0
ENIGMA,2,5,83.33
ENIGMA,4,1,16.67
ENNICE,2,1,50.0
ENNICE,4,1,50.0
ENNIS,2,55,79.71
ENNIS,3,9,13.04
ENNIS,4,5,7.25
ENOLA,2,98,86.73
ENOLA,3,3,2.65
ENOLA,4,12,10.62
ENON,2,4,44.44
ENON,3,1,11.11
ENON,4,4,44.44
ENON VALLEY,2,18,78.26
ENON VALLEY,3,1,4.35
ENON VALLEY,4,4,17.39
ENOREE,2,122,97.6
ENOREE,4,3,2.4
ENTERPRISE,2,239,96.37
ENTERPRISE,3,2,0.81
ENTERPRISE,4,7,2.82
ENTIAT,2,2,66.67
ENTIAT,4,1,33.33
ENUMCLAW,1,2,3.03
ENUMCLAW,2,27,40.91
ENUMCLAW,3,11,16.67
ENUMCLAW,4,26,39.39
ENVILLE,4,2,100.0
EOLIA,4,1,100.0
EPES,2,7,87.5
EPES,4,1,12.5
EPHRAIM,2,33,89.19
EPHRAIM,3,4,10.81
EPHRATA,1,2,0.33
EPHRATA,2,552,90.79
EPHRATA,3,20,3.29
EPHRATA,4,34,5.59
EPPING,2,33,100.0
EPSOM,2,4,80.0
EPSOM,4,1,20.0
EPWORTH,2,5,71.43
EPWORTH,4,2,28.57
EQUALITY,2,2,100.0
ERICK,2,1,50.0
ERICK,4,1,50.0
ERIE,2,235,59.95
ERIE,3,66,16.84
ERIE,4,91,23.21
ERIN,2,10,66.67
ERIN,4,5,33.33
ERLANGER,1,2,0.82
ERLANGER,2,179,73.06
ERLANGER,3,45,18.37
ERLANGER,4,19,7.76
ERNUL,4,2,100.0
ERROL,2,6,100.0
ERSKINE,2,13,100.0
ERVING,2,1,100.0
ERWIN,2,22,75.86
ERWIN,3,2,6.9
ERWIN,4,5,17.24
ESCALANTE,2,52,91.23
ESCALANTE,4,5,8.77
ESCALON,1,5,1.45
ESCALON,2,337,97.97
ESCALON,4,2,0.58
ESCANABA,2,1,50.0
ESCANABA,4,1,50.0
ESCONDIDO,2,2886,96.59
ESCONDIDO,3,79,2.64
ESCONDIDO,4,23,0.77
ESKDALE,2,7,63.64
ESKDALE,3,2,18.18
ESKDALE,4,2,18.18
ESKO,2,99,97.06
ESKO,3,3,2.94
ESMONT,4,5,100.0
ESPANOLA,2,20,74.07
ESPANOLA,4,7,25.93
ESPARTO,2,111,97.37
ESPARTO,4,3,2.63
ESPERANCE,2,28,84.85
ESPERANCE,4,5,15.15
ESSEX,2,189,77.14
ESSEX,3,21,8.57
ESSEX,4,35,14.29
ESSEX JUNCTION,2,1,100.0
ESSEXVILLE,4,12,100.0
ESSIG,2,4,100.0
ESSINGTON,2,210,93.33
ESSINGTON,3,6,2.67
ESSINGTON,4,9,4.0
ESTACADA,1,4,1.63
ESTACADA,2,158,64.23
ESTACADA,3,12,4.88
ESTACADA,4,72,29.27
ESTERO,2,748,96.39
ESTERO,3,13,1.68
ESTERO,4,15,1.93
ESTERO ISLAND,2,2,100.0
ESTES PARK,3,4,22.22
ESTES PARK,4,14,77.78
ESTHERVILLE,2,1,33.33
ESTHERVILLE,4,2,66.67
ESTILL,2,32,100.0
ESTILL SPRINGS,2,5,83.33
ESTILL SPRINGS,4,1,16.67
ETHEL,2,6,100.0
ETHELSVILLE,2,5,83.33
ETHELSVILLE,4,1,16.67
ETHRIDGE,2,4,100.0
ETLAN,4,1,100.0
ETNA,2,53,86.89
ETNA,3,2,3.28
ETNA,4,6,9.84
ETNA GREEN,2,1,100.0
ETOILE,4,1,100.0
ETOWAH,2,6,100.0
ETTERS,1,2,2.27
ETTERS,2,72,81.82
ETTERS,4,14,15.91
ETTRICK,4,3,100.0
EUCLID,1,10,20.41
EUCLID,2,29,59.18
EUCLID,3,4,8.16
EUCLID,4,6,12.24
EUDORA,2,14,82.35
EUDORA,4,3,17.65
EUFAULA,2,8,88.89
EUFAULA,4,1,11.11
EUGENE,2,2763,97.81
EUGENE,3,28,0.99
EUGENE,4,34,1.2
EULESS,2,209,76.84
EULESS,3,53,19.49
EULESS,4,10,3.68
EURE,2,4,80.0
EURE,4,1,20.0
EUREKA,2,691,96.78
EUREKA,3,19,2.66
EUREKA,4,4,0.56
EUREKA SPRINGS,2,4,44.44
EUREKA SPRINGS,3,1,11.11
EUREKA SPRINGS,4,4,44.44
EUSTIS,2,111,90.98
EUSTIS,4,11,9.02
EUTAW,2,45,84.91
EUTAW,3,1,1.89
EUTAW,4,7,13.21
EUTAWVILLE,2,84,100.0
EVANS,2,4,80.0
EVANS,4,1,20.0
EVANS CITY,2,2,66.67
EVANS CITY,4,1,33.33
EVANS MILLS,2,8,53.33
EVANS MILLS,4,7,46.67
EVANSDALE,2,23,95.83
EVANSDALE,4,1,4.17
EVANSTON,2,27,50.94
EVANSTON,4,26,49.06
EVANSVILLE,2,231,70.86
EVANSVILLE,3,12,3.68
EVANSVILLE,4,83,25.46
EVART,4,4,100.0
EVELETH,2,219,100.0
EVENING SHADE,2,11,68.75
EVENING SHADE,4,5,31.25
EVENSVILLE,4,2,100.0
EVERETT,1,23,2.1
EVERETT,2,865,79.07
EVERETT,3,140,12.8
EVERETT,4,66,6.03
EVERGREEN,1,1,0.44
EVERGREEN,2,134,58.52
EVERGREEN,3,29,12.66
EVERGREEN,4,65,28.38
EVERGREEN PARK,1,1,2.86
EVERGREEN PARK,2,9,25.71
EVERGREEN PARK,3,21,60.0
EVERGREEN PARK,4,4,11.43
EVERLY,2,3,100.0
EVERSON,2,21,42.0
EVERSON,3,4,8.0
EVERSON,4,25,50.0
EVERTON,2,3,42.86
EVERTON,4,4,57.14
EVINGTON,2,15,71.43
EVINGTON,4,6,28.57
EWING,2,3,27.27
EWING,3,2,18.18
EWING,4,6,54.55
EXCELSIOR,1,2,1.15
EXCELSIOR,2,161,92.53
EXCELSIOR,3,4,2.3
EXCELSIOR,4,7,4.02
EXCHANGE,2,13,100.0
EXETER,1,2,0.44
EXETER,2,428,95.11
EXETER,3,2,0.44
EXETER,4,18,4.0
EXIRA,2,1,100.0
EXMORE,2,28,80.0
EXMORE,4,7,20.0
EXPORT,2,28,90.32
EXPORT,4,3,9.68
EXTON,2,531,90.46
EXTON,3,18,3.07
EXTON,4,38,6.47
EYOTA,2,198,98.51
EYOTA,3,2,1.0
EYOTA,4,1,0.5
FABENS,2,7,100.0
FABER,2,15,65.22
FABER,4,8,34.78
FABIUS,2,8,72.73
FABIUS,3,3,27.27
FACTORYVILLE,2,4,80.0
FACTORYVILLE,4,1,20.0
FAIR BLUFF,2,3,100.0
FAIR GROVE,2,11,100.0
FAIR HAVEN,2,6,60.0
FAIR HAVEN,4,4,40.0
FAIR LAWN,2,51,89.47
FAIR LAWN,3,2,3.51
FAIR LAWN,4,4,7.02
FAIR OAKS,1,2,0.11
FAIR OAKS,2,1791,98.35
FAIR OAKS,3,9,0.49
FAIR OAKS,4,19,1.04
FAIR PLAY,2,168,92.31
FAIR PLAY,3,4,2.2
FAIR PLAY,4,10,5.49
FAIRBANK,4,1,100.0
FAIRBANKS,4,2,100.0
FAIRBORN,2,27,72.97
FAIRBORN,3,2,5.41
FAIRBORN,4,8,21.62
FAIRBURN,1,1,0.47
FAIRBURN,2,118,55.66
FAIRBURN,3,47,22.17
FAIRBURN,4,46,21.7
FAIRCHILD AIR FORCE BASE,2,2,100.0
FAIRDALE,2,71,81.61
FAIRDALE,3,1,1.15
FAIRDALE,4,15,17.24
FAIRFAX,1,11,0.28
FAIRFAX,2,3570,91.59
FAIRFAX,3,225,5.77
FAIRFAX,4,92,2.36
FAIRFAX STATION,1,3,0.75
FAIRFAX STATION,2,378,94.74
FAIRFAX STATION,3,7,1.75
FAIRFAX STATION,4,11,2.76
FAIRFIELD,1,63,1.75
FAIRFIELD,2,3313,92.03
FAIRFIELD,3,145,4.03
FAIRFIELD,4,79,2.19
FAIRHAVEN,2,6,54.55
FAIRHAVEN,3,4,36.36
FAIRHAVEN,4,1,9.09
FAIRHOPE,2,26,96.3
FAIRHOPE,4,1,3.7
FAIRLAND,2,19,76.0
FAIRLAND,3,3,12.0
FAIRLAND,4,3,12.0
FAIRLESS HILLS,2,9,75.0
FAIRLESS HILLS,3,1,8.33
FAIRLESS HILLS,4,2,16.67
FAIRMONT,1,1,0.26
FAIRMONT,2,359,92.29
FAIRMONT,3,7,1.8
FAIRMONT,4,22,5.66
FAIRMOUNT,2,9,36.0
FAIRMOUNT,3,4,16.0
FAIRMOUNT,4,12,48.0
FAIRMOUNT CITY,2,1,33.33
FAIRMOUNT CITY,4,2,66.67
FAIRMOUNT HEIGHTS,2,1,33.33
FAIRMOUNT HEIGHTS,4,2,66.67
FAIRPLAY,2,51,31.68
FAIRPLAY,3,63,39.13
FAIRPLAY,4,47,29.19
FAIRPORT,2,238,96.36
FAIRPORT,3,7,2.83
FAIRPORT,4,2,0.81
FAIRVIEW,1,16,3.23
FAIRVIEW,2,414,83.47
FAIRVIEW,3,21,4.23
FAIRVIEW,4,45,9.07
FAIRVIEW HEIGHTS,1,1,8.33
FAIRVIEW HEIGHTS,2,7,58.33
FAIRVIEW HEIGHTS,3,2,16.67
FAIRVIEW HEIGHTS,4,2,16.67
FAISON,1,1,4.17
FAISON,2,19,79.17
FAISON,4,4,16.67
FALCONER,4,3,100.0
FALKVILLE,2,48,85.71
FALKVILLE,3,2,3.57
FALKVILLE,4,6,10.71
FALL BRANCH,2,17,77.27
FALL BRANCH,3,1,4.55
FALL BRANCH,4,4,18.18
FALL CITY,2,9,69.23
FALL CITY,4,4,30.77
FALL CREEK,2,1,100.0
FALL RIVER,2,53,77.94
FALL RIVER,3,12,17.65
FALL RIVER,4,3,4.41
FALL RIVER MILLS,2,54,94.74
FALL RIVER MILLS,3,2,3.51
FALL RIVER MILLS,4,1,1.75
FALLBROOK,2,2211,97.66
FALLBROOK,3,27,1.19
FALLBROOK,4,26,1.15
FALLENTIMBER,2,21,95.45
FALLENTIMBER,4,1,4.55
FALLING ROCK,2,1,100.0
FALLING WATERS,2,85,79.44
FALLING WATERS,3,9,8.41
FALLING WATERS,4,13,12.15
FALLON,2,74,66.67
FALLON,3,8,7.21
FALLON,4,29,26.13
FALLS CHURCH,1,4,0.28
FALLS CHURCH,2,1280,88.64
FALLS CHURCH,3,100,6.93
FALLS CHURCH,4,60,4.16
FALLS CREEK,2,24,100.0
FALLS OF ROUGH,2,1,100.0
FALLS VILLAGE,3,1,11.11
FALLS VILLAGE,4,8,88.89
FALLSBURG,2,2,100.0
FALLSTON,2,40,53.33
FALLSTON,3,6,8.0
FALLSTON,4,29,38.67
FALMOUTH,2,101,95.28
FALMOUTH,4,5,4.72
FANCY GAP,2,134,93.06
FANCY GAP,4,10,6.94
FANNETTSBURG,2,3,33.33
FANNETTSBURG,3,1,11.11
FANNETTSBURG,4,5,55.56
FANNING SPRINGS,2,13,100.0
FAR HILLS,2,30,90.91
FAR HILLS,3,1,3.03
FAR HILLS,4,2,6.06
FAR ROCKAWAY,2,4,33.33
FAR ROCKAWAY,3,1,8.33
FAR ROCKAWAY,4,7,58.33
FARGO,2,217,97.31
FARGO,4,6,2.69
FARIBAULT,2,714,97.54
FARIBAULT,3,14,1.91
FARIBAULT,4,4,0.55
FARINA,4,1,100.0
FARLEY,2,2,100.0
FARMDALE,3,2,100.0
FARMER CITY,2,3,100.0
FARMERSBURG,2,2,100.0
FARMERSVILLE,2,23,85.19
FARMERSVILLE,3,1,3.7
FARMERSVILLE,4,3,11.11
FARMINGDALE,1,1,0.43
FARMINGDALE,2,172,73.19
FARMINGDALE,3,25,10.64
FARMINGDALE,4,37,15.74
FARMINGTON,1,8,0.47
FARMINGTON,2,1482,87.74
FARMINGTON,3,136,8.05
FARMINGTON,4,63,3.73
FARMINGTON HILLS,2,5,55.56
FARMINGTON HILLS,3,2,22.22
FARMINGTON HILLS,4,2,22.22
FARMINGVILLE,2,16,55.17
FARMINGVILLE,3,11,37.93
FARMINGVILLE,4,2,6.9
FARMLAND,2,7,50.0
FARMLAND,4,7,50.0
FARMVILLE,1,1,1.18
FARMVILLE,2,53,62.35
FARMVILLE,3,2,2.35
FARMVILLE,4,29,34.12
FARNHAM,2,11,61.11
FARNHAM,3,1,5.56
FARNHAM,4,6,33.33
FARRAGUT,2,24,100.0
FARWELL,2,9,45.0
FARWELL,3,5,25.0
FARWELL,4,6,30.0
FAUCETT,2,2,50.0
FAUCETT,4,2,50.0
FAULKNER,4,1,100.0
FAWN GROVE,2,3,100.0
FAYETTE,2,31,81.58
FAYETTE,4,7,18.42
FAYETTE CITY,2,5,55.56
FAYETTE CITY,4,4,44.44
FAYETTEVILLE,1,8,1.02
FAYETTEVILLE,2,579,73.85
FAYETTEVILLE,3,21,2.68
FAYETTEVILLE,4,176,22.45
FEASTERVILLE TREVOSE,2,147,76.96
FEASTERVILLE TREVOSE,3,18,9.42
FEASTERVILLE TREVOSE,4,26,13.61
FEDERAL WAY,1,14,2.18
FEDERAL WAY,2,507,78.97
FEDERAL WAY,3,103,16.04
FEDERAL WAY,4,18,2.8
FEDERALSBURG,2,49,59.76
FEDERALSBURG,3,1,1.22
FEDERALSBURG,4,32,39.02
FELDA,2,5,100.0
FELICITY,4,6,100.0
FELLOWS,2,26,100.0
FELLSMERE,1,1,1.03
FELLSMERE,2,88,90.72
FELLSMERE,3,1,1.03
FELLSMERE,4,7,7.22
FELTON,1,4,1.08
FELTON,2,341,91.91
FELTON,3,3,0.81
FELTON,4,23,6.2
FELTS MILLS,2,1,20.0
FELTS MILLS,4,4,80.0
FENCE,2,1,100.0
FENELTON,2,4,100.0
FENNIMORE,2,1,33.33
FENNIMORE,3,2,66.67
FENNVILLE,2,32,65.31
FENNVILLE,3,6,12.24
FENNVILLE,4,11,22.45
FENTON,1,1,0.21
FENTON,2,409,85.21
FENTON,3,26,5.42
FENTON,4,44,9.17
FENWICK,3,1,50.0
FENWICK,4,1,50.0
FERDINAND,2,9,45.0
FERDINAND,4,11,55.0
FERGUS FALLS,2,92,98.92
FERGUS FALLS,3,1,1.08
FERGUSON,2,2,100.0
FERN PARK,2,3,100.0
FERNANDINA BEACH,2,130,96.3
FERNANDINA BEACH,4,5,3.7
FERNDALE,2,119,90.84
FERNDALE,3,5,3.82
FERNDALE,4,7,5.34
FERNLEY,2,53,75.71
FERNLEY,3,3,4.29
FERNLEY,4,14,20.0
FERRIS,2,41,73.21
FERRIS,3,13,23.21
FERRIS,4,2,3.57
FERRISBURGH,2,1,100.0
FERRON,2,72,94.74
FERRON,3,1,1.32
FERRON,4,3,3.95
FERRUM,2,7,46.67
FERRUM,4,8,53.33
FERTILE,4,1,100.0
FESSENDEN,2,3,100.0
FESTUS,1,1,1.67
FESTUS,2,39,65.0
FESTUS,3,10,16.67
FESTUS,4,10,16.67
FEURA BUSH,2,18,85.71
FEURA BUSH,4,3,14.29
FIDDLETOWN,2,35,100.0
FIELDALE,2,12,70.59
FIELDALE,4,5,29.41
FIELDON,4,4,100.0
FIELDS,2,1,33.33
FIELDS,3,1,33.33
FIELDS,4,1,33.33
FIFE,2,39,97.5
FIFE,3,1,2.5
FIFE LAKE,2,1,14.29
FIFE LAKE,4,6,85.71
FIFIELD,2,1,50.0
FIFIELD,4,1,50.0
FILER,2,13,65.0
FILER,3,2,10.0
FILER,4,5,25.0
FILLMORE,2,850,95.83
FILLMORE,3,11,1.24
FILLMORE,4,26,2.93
FINCASTLE,2,107,85.6
FINCASTLE,3,2,1.6
FINCASTLE,4,16,12.8
FINDLAY,2,30,49.18
FINDLAY,3,4,6.56
FINDLAY,4,27,44.26
FINDLEY LAKE,2,1,100.0
FINGAL,2,1,100.0
FINKSBURG,2,32,50.0
FINKSBURG,3,6,9.38
FINKSBURG,4,26,40.63
FINLAND,2,5,100.0
FINLAYSON,2,105,99.06
FINLAYSON,3,1,0.94
FINLEY,2,1,100.0
FINLEYVILLE,2,7,41.18
FINLEYVILLE,3,1,5.88
FINLEYVILLE,4,9,52.94
FIREBAUGH,1,3,0.68
FIREBAUGH,2,427,97.49
FIREBAUGH,3,4,0.91
FIREBAUGH,4,4,0.91
FIRTH,2,69,94.52
FIRTH,3,1,1.37
FIRTH,4,3,4.11
FISH CAMP,2,30,100.0
FISH HAVEN,2,1,100.0
FISHER,2,5,83.33
FISHER,4,1,16.67
FISHERS,2,147,76.96
FISHERS,3,34,17.8
FISHERS,4,10,5.24
FISHERSVILLE,2,93,83.78
FISHERSVILLE,3,6,5.41
FISHERSVILLE,4,12,10.81
FISHERTOWN,2,2,100.0
FISHERVILLE,2,4,80.0
FISHERVILLE,3,1,20.0
FISHKILL,1,2,0.9
FISHKILL,2,200,89.69
FISHKILL,3,5,2.24
FISHKILL,4,16,7.17
FISHTAIL,2,4,100.0
FISKDALE,2,3,25.0
FISKDALE,3,2,16.67
FISKDALE,4,7,58.33
FITCHBURG,2,7,35.0
FITCHBURG,3,11,55.0
FITCHBURG,4,2,10.0
FITHIAN,2,1,100.0
FITZGERALD,2,4,33.33
FITZGERALD,4,8,66.67
FITZHUGH,4,1,100.0
FITZPATRICK,2,15,88.24
FITZPATRICK,4,2,11.76
FITZWILLIAM,2,3,50.0
FITZWILLIAM,3,3,50.0
FIVE POINTS,2,28,96.55
FIVE POINTS,4,1,3.45
FLAG POND,2,14,73.68
FLAG POND,4,5,26.32
FLAGLER,2,5,62.5
FLAGLER,3,1,12.5
FLAGLER,4,2,25.0
FLAGLER BEACH,2,119,91.54
FLAGLER BEACH,3,5,3.85
FLAGLER BEACH,4,6,4.62
FLAGSTAFF,1,1,0.14
FLAGSTAFF,2,585,84.66
FLAGSTAFF,3,17,2.46
FLAGSTAFF,4,88,12.74
FLANDERS,2,18,46.15
FLANDERS,3,7,17.95
FLANDERS,4,14,35.9
FLASHER,2,1,100.0
FLAT ROCK,1,3,1.89
FLAT ROCK,2,144,90.57
FLAT ROCK,3,3,1.89
FLAT ROCK,4,9,5.66
FLAT TOP,2,23,100.0
FLATONIA,2,1,100.0
FLATWOODS,2,12,92.31
FLATWOODS,4,1,7.69
FLEETWOOD,2,58,79.45
FLEETWOOD,3,1,1.37
FLEETWOOD,4,14,19.18
FLEMING,2,11,61.11
FLEMING,3,1,5.56
FLEMING,4,6,33.33
FLEMING ISLAND,2,128,92.75
FLEMING ISLAND,3,3,2.17
FLEMING ISLAND,4,7,5.07
FLEMINGTON,2,10,33.33
FLEMINGTON,3,2,6.67
FLEMINGTON,4,18,60.0
FLETCHER,1,17,6.72
FLETCHER,2,224,88.54
FLETCHER,3,1,0.4
FLETCHER,4,11,4.35
FLINT,2,3872,95.02
FLINT,3,61,1.5
FLINT,4,142,3.48
FLINTON,2,7,100.0
FLINTSTONE,2,46,85.19
FLINTSTONE,3,1,1.85
FLINTSTONE,4,7,12.96
FLINTVILLE,2,1,50.0
FLINTVILLE,4,1,50.0
FLOMATON,2,2,66.67
FLOMATON,4,1,33.33
FLOODWOOD,2,104,99.05
FLOODWOOD,4,1,0.95
FLORA,2,6,75.0
FLORA,4,2,25.0
FLORAHOME,2,29,93.55
FLORAHOME,4,2,6.45
FLORAL CITY,2,30,100.0
FLORAL PARK,2,65,81.25
FLORAL PARK,3,13,16.25
FLORAL PARK,4,2,2.5
FLORENCE,2,3414,96.39
FLORENCE,3,44,1.24
FLORENCE,4,84,2.37
FLORHAM PARK,2,65,94.2
FLORHAM PARK,3,2,2.9
FLORHAM PARK,4,2,2.9
FLORIDA,2,2,33.33
FLORIDA,4,4,66.67
FLORIDA CITY,2,115,100.0
FLORISSANT,1,2,1.37
FLORISSANT,2,75,51.37
FLORISSANT,3,43,29.45
FLORISSANT,4,26,17.81
FLORISTON,2,234,94.74
FLORISTON,3,7,2.83
FLORISTON,4,6,2.43
FLOSSMOOR,3,1,100.0
FLOURTOWN,2,93,95.88
FLOURTOWN,4,4,4.12
FLOVILLA,2,2,20.0
FLOVILLA,4,8,80.0
FLOWEREE,2,8,80.0
FLOWEREE,4,2,20.0
FLOWERY BRANCH,2,30,66.67
FLOWERY BRANCH,3,6,13.33
FLOWERY BRANCH,4,9,20.0
FLOWOOD,2,119,88.81
FLOWOOD,3,8,5.97
FLOWOOD,4,7,5.22
FLOYD,2,9,40.91
FLOYD,3,1,4.55
FLOYD,4,12,54.55
FLOYDS KNOBS,2,9,64.29
FLOYDS KNOBS,3,3,21.43
FLOYDS KNOBS,4,2,14.29
FLUSHING,2,1593,86.25
FLUSHING,3,172,9.31
FLUSHING,4,82,4.44
FOGELSVILLE,2,32,74.42
FOGELSVILLE,3,2,4.65
FOGELSVILLE,4,9,20.93
FOLCROFT,2,32,96.97
FOLCROFT,4,1,3.03
FOLEY,2,185,95.85
FOLEY,3,5,2.59
FOLEY,4,3,1.55
FOLKSTON,2,10,52.63
FOLKSTON,3,1,5.26
FOLKSTON,4,8,42.11
FOLLY BEACH,2,3,100.0
FOLSOM,1,15,3.04
FOLSOM,2,457,92.51
FOLSOM,3,18,3.64
FOLSOM,4,4,0.81
FOMBELL,2,4,100.0
FOND DU LAC,2,21,46.67
FOND DU LAC,3,1,2.22
FOND DU LAC,4,23,51.11
FONDA,2,2,15.38
FONDA,4,11,84.62
FONTANA,2,4477,97.82
FONTANA,3,67,1.46
FONTANA,4,33,0.72
FOOTHILL RANCH,2,75,97.4
FOOTHILL RANCH,3,1,1.3
FOOTHILL RANCH,4,1,1.3
FORBES,2,1,100.0
FORBESTOWN,2,19,100.0
FORCE,2,3,100.0
FORD,1,2,10.53
FORD,2,9,47.37
FORD,4,8,42.11
FORD CITY,2,2,100.0
FORDLAND,2,1,100.0
FORDOCHE,2,7,70.0
FORDOCHE,4,3,30.0
FORDS,2,151,93.21
FORDS,3,9,5.56
FORDS,4,2,1.23
FORDSVILLE,2,1,100.0
FORDVILLE,2,1,100.0
FORDYCE,2,6,35.29
FORDYCE,3,3,17.65
FORDYCE,4,8,47.06
FOREST,1,1,0.93
FOREST,2,72,66.67
FOREST,3,3,2.78
FOREST,4,32,29.63
FOREST CITY,1,1,2.0
FOREST CITY,2,41,82.0
FOREST CITY,4,8,16.0
FOREST FALLS,2,1,100.0
FOREST GROVE,1,5,1.98
FOREST GROVE,2,207,81.82
FOREST GROVE,3,16,6.32
FOREST GROVE,4,25,9.88
FOREST HILL,2,34,85.0
FOREST HILL,4,6,15.0
FOREST HILLS,2,472,88.72
FOREST HILLS,3,46,8.65
FOREST HILLS,4,14,2.63
FOREST HOME,2,1,33.33
FOREST HOME,4,2,66.67
FOREST KNOLLS,2,5,100.0
FOREST LAKE,2,907,94.38
FOREST LAKE,3,44,4.58
FOREST LAKE,4,10,1.04
FOREST LAKES,2,18,85.71
FOREST LAKES,3,1,4.76
FOREST LAKES,4,2,9.52
FOREST PARK,1,3,0.41
FOREST PARK,2,442,60.97
FOREST PARK,3,213,29.38
FOREST PARK,4,67,9.24
FOREST RANCH,2,88,95.65
FOREST RANCH,4,4,4.35
FOREST RIVER,2,1,100.0
FORESTHILL,2,160,100.0
FORESTON,2,21,87.5
FORESTON,3,1,4.17
FORESTON,4,2,8.33
FORESTPORT,2,10,66.67
FORESTPORT,4,5,33.33
FORESTVILLE,2,169,97.69
FORESTVILLE,4,4,2.31
FORISTELL,1,1,1.67
FORISTELL,2,37,61.67
FORISTELL,3,13,21.67
FORISTELL,4,9,15.0
FORK,2,15,100.0
FORK UNION,2,8,47.06
FORK UNION,4,9,52.94
FORKED RIVER,2,84,89.36
FORKED RIVER,3,5,5.32
FORKED RIVER,4,5,5.32
FORKLAND,2,2,100.0
FORKS,2,41,83.67
FORKS,4,8,16.33
FORKS OF SALMON,2,13,100.0
